"id","sku_name","base_price","cogs","category"
"P576453","UnzeLondon_L24273-8",57855,42224,"Women Fashion"
"P741727","amnaismail_AI KC 34-L",57855,39324,"Women Fashion"
"P432347","amnaismail_AI KC 34-M",57855,44544,"Women Fashion"
"P817533","amnaismail_AI KC 37-M",57855,35844,"Women Fashion"
"P856172","amnaismail_AI KC 37-L",57855,35264,"Women Fashion"
"P510948","amnaismail_AI KC 24-L",57855,37004,"Women Fashion"
"P792014","amnaismail_AI KC 40-L",57855,47966,"Women Fashion"
"P896044","amnaismail_AI KC 34-S",57855,40484,"Women Fashion"
"P898100","amnaismail_AI KC 40-S",57855,43384,"Women Fashion"
"P491316","amnaismail_AI KC 24-M",57855,39324,"Women Fashion"
"P660355","amnaismail_AI KC 37-S",57855,51446,"Women Fashion"
"P798444","AT-FSM-35",57631.7,46052,"Kids & Baby"
"P911546","AT-SBS-9",57631.7,50692,"Kids & Baby"
"P551202","Brand City_OP31-Silver-8",56637,38512,"Women Fashion"
"P399304","Brand City_Br16-Gold-9",56637,38512,"Women Fashion"
"P595309","Brand City_Br16-Gold-10",56637,41296,"Women Fashion"
"P363359","Brand City_Y30-Black-7",56637,40194,"Women Fashion"
"P471236","Brand City_Br86-Beige-7",56637,46400,"Women Fashion"
"P603443","Brand City_Y32-Black-6",56637,50402,"Women Fashion"
"P293825","Brand City_Y32-Black-9",56637,35670,"Women Fashion"
"P599558","Brand City_Br16-Black-10",56637,49242,"Women Fashion"
"P580347","motif_MPT-660-Mens Cargo Pant-Black-38",56521,38976,"Men Fashion"
"P774377","motif_MPT-660-Mens Cargo Pant-Black-34",56521,44080,"Men Fashion"
"P391149","motif_MPT-660-Mens Cargo Pant-Black-36",56521,46864,"Men Fashion"
"P290527","motif_MPT-660-Mens Cargo Pant-Black-32",56521,45762,"Men Fashion"
"P164762","Aybeez_ABZ-273-M",55645.2,41702,"Men Fashion"
"P291964","Aybeez_ABZ-273-XL",55645.2,50054,"Men Fashion"
"P857534","Aybeez_ABZ-273-S",55645.2,43906,"Men Fashion"
"P161614","ajmery_M995-One Size",55624.9,33930,"Men Fashion"
"P536908","ajmery_TH281FA13U8DKNAFAMZ-38",54549,38686,"Women Fashion"
"P989827","TTmachine_BF002-M",54375,40194,"Men Fashion"
"P231986","TTmachine_BF002-L",54375,44022,"Men Fashion"
"P349218","TTmachine_BF003-M",54375,44022,"Men Fashion"
"P473446","TTmachine_BF003-L",54375,45124,"Men Fashion"
"P262373","TTmachine_BF004-L",54375,34220,"Men Fashion"
"P832439","TTmachine_BF004-M",54375,40774,"Men Fashion"
"P476163","Paramount_9788131795392",54375,42920,"School & Education"
"P493677","saloni_Golden Pearl 1",53287.5,35670,"Beauty & Grooming"
"P322325","AKL_A131128823_SS-116_Blue",52925,34394,"Women Fashion"
"P754559","AKL_A131128822_SS-116_Pink",52925,32770,"Women Fashion"
"P541958","Brand City_Blok6-Blue-11",52577,38860,"Women Fashion"
"P254114","Brand City_Blok6-Blue-10",52577,46748,"Women Fashion"
"P172372","Red Tree_RT2572-L",52165.2,31784,"Men Fashion"
"P755801","Red Tree_RT2556-S",52165.2,40658,"Men Fashion"
"P138456","Red Tree_RT2568-L",52165.2,41180,"Men Fashion"
"P112452","Red Tree_RT2555-L",52165.2,35438,"Men Fashion"
"P582474","Red Tree_RT2553-L",52165.2,35438,"Men Fashion"
"P940557","Red Tree_RT2561-L",52165.2,44312,"Men Fashion"
"P179625","Red Tree_RT2564-S",52165.2,34394,"Men Fashion"
"P320598","Red Tree_RT2570-L",52165.2,34916,"Men Fashion"
"P323724","Red Tree_RT2572-M",52165.2,33872,"Men Fashion"
"P517667","Red Tree_RT2564-M",52165.2,45878,"Men Fashion"
"P595205","Red Tree_RT2568-M",52165.2,43268,"Men Fashion"
"P306049","Red Tree_RT2552-M",52165.2,40136,"Men Fashion"
"P478257","Red Tree_RT2548-M",52165.2,35960,"Men Fashion"
"P168513","Red Tree_RT2561-M",52165.2,41702,"Men Fashion"
"P552003","Red Tree_RT2555-S",52165.2,40658,"Men Fashion"
"P696462","R-tree_RT2492-S",52165.2,45356,"Men Fashion"
"P369617","Red Tree_RT2564-XL",52165.2,40136,"Men Fashion"
"P558647","Red Tree_RT2573-S",52165.2,41702,"Men Fashion"
"P619209","Red Tree_RT2555-M",52165.2,38570,"Men Fashion"
"P751656","Red Tree_RT2563-M",52165.2,31262,"Men Fashion"
"P585450","Red Tree_RT2553-M",52165.2,40658,"Men Fashion"
"P156482","RL_B005",52156.5,42746,"Home & Living"
